id,year,location,estab,formal,service,sector,group,ftstaff05,ftstaff06,ftstaff07,ptstaff05,ptstaff06,ptstaff07,totalstaff05,totalstaff06,totalstaff07,totalstaff08,totalstaff09,totalstaff10,turnover05,turnover06,turnover07,turnover08,turnover09,turnover10,sinfo1,sinfo2,sinfo3,sinfo4,sinfo5,sinfo6,sinfo7,sinfo8,sinfo9,sinfo10,policy_suggestion1,policy_suggestion2,policy_suggestion3,policy_suggestion4,policy_suggestion5,policy_suggestion6,policy_suggestion7,policy_suggestion8,market1,market2,market3,market4,market5,market6,market7,market8
11,2008,No,0.0,Yes,manufacturing,food and beverages,No,56.0,48.0,29.0,0.0,0.0,0.0,56.0,48.0,29.0,0.0,0.0,0.0,39990626.0,35884544.0,13091062.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Yes,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
12,2008,No,1999.0,Yes,manufacturing,chemicals and chemical products,No,50.0,35.0,30.0,70.0,40.0,30.0,120.0,75.0,60.0,0.0,0.0,0.0,100000000.0,50000000.0,50000000.0,0.0,0.0,0.0,Low,Medium,Medium,Not used,Not used,Not used,Low,Low,Low,Medium,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Yes,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
13,2008,No,1985.0,NOT SPECIFIED,manufacturing,food and beverages,No,100.0,100.0,10.0,200.0,200.0,17.0,300.0,300.0,27.0,0.0,0.0,0.0,300000000.0,400000000.0,250000000.0,0.0,0.0,0.0,Low,Medium,Not used,Not used,Low,Not used,Not used,Low,Low,High,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Yes,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
14,2008,No,1996.0,NOT SPECIFIED,manufacturing,food and beverages,No,6.0,8.0,7.0,12.0,11.0,14.0,18.0,19.0,21.0,0.0,0.0,0.0,50000000.0,60000000.0,49178000.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,By stopping foriegn companies from dumping their product,By stopping foriegn companies from dumping their product,By stopping foriegn companies from dumping their product,By stopping foriegn companies from dumping their product,By stopping foriegn companies from dumping their product,By stopping foriegn companies from dumping their product,By stopping foriegn companies from dumping their product,By stopping foriegn companies from dumping their product,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
15,2008,No,1975.0,Yes,manufacturing,"machinery, equipment and vehicles",No,122.0,121.0,126.0,0.0,0.0,0.0,122.0,121.0,126.0,0.0,0.0,0.0,151750000.0,158654620.0,168345260.0,0.0,0.0,0.0,High,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,High,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Yes,No,No,No,No,No,No,No
16,2008,No,1985.0,No,manufacturing,food and beverages,No,40.0,41.0,48.0,15.0,10.0,14.0,55.0,51.0,62.0,0.0,0.0,0.0,14200000.0,17500000.0,19000000.0,0.0,0.0,0.0,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Yes,No,No,No,No,No,No,No
17,2008,No,1956.0,Yes,manufacturing,"Publishing, reproduction of recorded media",No,70.0,75.0,75.0,10.0,5.0,20.0,80.0,80.0,95.0,0.0,0.0,0.0,1371140511.0,1240160501.0,1715567101.0,0.0,0.0,0.0,Medium,Medium,High,Not used,Not used,Not used,Low,Low,Low,Medium,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
18,2008,No,0.0,NOT SPECIFIED,manufacturing,food and beverages,No,13.0,13.0,13.0,0.0,0.0,0.0,13.0,13.0,13.0,0.0,0.0,0.0,25000000.0,32000000.0,30000000.0,0.0,0.0,0.0,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
19,2008,No,0.0,Yes,manufacturing,wood and paper products etc,Yes,384.0,376.0,370.0,0.0,0.0,0.0,384.0,376.0,370.0,0.0,0.0,0.0,4009000000.0,4791000000.0,6117000000.0,0.0,0.0,0.0,Not used,Medium,Not used,Not used,Not used,Not used,Not used,Not used,Not used,High,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Yes,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
20,2008,No,1991.0,Yes,manufacturing,fabricated metal etc,No,68.0,70.0,76.0,6.0,8.0,10.0,74.0,78.0,86.0,0.0,0.0,0.0,2990000000.0,4640000000.0,5166000000.0,0.0,0.0,0.0,High,High,Low,Low,Not used,Not used,Not used,Low,Low,Medium,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
21,2008,No,0.0,Yes,manufacturing,rubber and plastics products,Yes,109.0,109.0,109.0,0.0,0.0,0.0,109.0,109.0,109.0,0.0,0.0,0.0,418264000.0,232444800.0,499926000.0,0.0,0.0,0.0,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Yes,Yes,Yes,Yes,NOT SPECIFIED
22,2008,No,0.0,Yes,manufacturing,furniture,Yes,13.0,13.0,13.0,3.0,3.0,3.0,16.0,16.0,16.0,0.0,0.0,0.0,150000000.0,300000000.0,360000000.0,0.0,0.0,0.0,Medium,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Yes,Yes,No,No,No,No,No,No
23,2008,No,1960.0,NOT SPECIFIED,manufacturing,food and beverages,No,26.0,26.0,38.0,0.0,0.0,0.0,26.0,26.0,38.0,0.0,0.0,0.0,179000000.0,133000000.0,415000000.0,0.0,0.0,0.0,Not used,Medium,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,"Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants","Provision of subsidies, tax rebates, training & loans/ grants",NOT SPECIFIED,No,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
24,2008,No,0.0,Yes,manufacturing,furniture,No,547.0,558.0,534.0,0.0,0.0,0.0,547.0,558.0,534.0,0.0,0.0,0.0,589445.53,550492.42,438150.06,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
25,2008,No,0.0,NOT SPECIFIED,manufacturing,rubber and plastics products,No,15.0,25.0,32.0,10.0,16.0,18.0,25.0,41.0,50.0,0.0,0.0,0.0,120000000.0,160000000.0,210000000.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Emphasis on staff training,Emphasis on staff training,Emphasis on staff training,Emphasis on staff training,Emphasis on staff training,Emphasis on staff training,Emphasis on staff training,Emphasis on staff training,NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
26,2008,No,1994.0,Yes,manufacturing,food and beverages,No,16.0,18.0,18.0,2.0,3.0,4.0,18.0,21.0,22.0,0.0,0.0,0.0,4000000.0,6000000.0,8000000.0,0.0,0.0,0.0,High,Medium,High,High,Not used,Medium,Not used,Medium,Not used,Medium,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
27,2008,No,2006.0,NOT SPECIFIED,manufacturing,basic metals and recycling,No,5.0,46.0,15.0,3.0,3.0,3.0,8.0,49.0,18.0,0.0,0.0,0.0,0.0,8000000.0,15000000.0,0.0,0.0,0.0,Medium,Medium,Low,Not used,Low,Medium,Low,Low,Not used,Not used,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
28,2008,No,1994.0,NOT SPECIFIED,manufacturing,chemicals and chemical products,Yes,100.0,100.0,115.0,10.0,17.0,10.0,110.0,117.0,125.0,0.0,0.0,0.0,100000000.0,120000000.0,130000000.0,0.0,0.0,0.0,High,High,High,High,Not used,Not used,Not used,Medium,Medium,High,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Yes,Yes,Yes,Yes,No,No,No,NOT SPECIFIED
29,2008,No,1976.0,Yes,manufacturing,chemicals and chemical products,No,105.0,112.0,85.0,0.0,0.0,0.0,105.0,112.0,85.0,0.0,0.0,0.0,125000000.0,130000000.0,200000000.0,0.0,0.0,0.0,High,Medium,High,Medium,Not used,Not used,Not used,High,Medium,Medium,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
30,2008,No,1978.0,NOT SPECIFIED,manufacturing,non metallic mineral products,No,20.0,20.0,20.0,40.0,40.0,40.0,60.0,60.0,60.0,0.0,0.0,0.0,2000000.0,2500000.0,3000000.0,0.0,0.0,0.0,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Yes,No,No,No,No,No,No,No
31,2008,No,2003.0,NOT SPECIFIED,manufacturing,food and beverages,No,0.0,0.0,61.0,0.0,0.0,182.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,363000000.0,0.0,0.0,0.0,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Yes,Yes,No,No,No,No,No,No
32,2008,No,1997.0,NOT SPECIFIED,manufacturing,basic metals and recycling,No,18.0,15.0,15.0,0.0,0.0,0.0,18.0,15.0,15.0,0.0,0.0,0.0,2000000.0,1800000.0,1700000.0,0.0,0.0,0.0,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Yes,No,No,No,No,No,No,No
33,2008,No,1936.0,NOT SPECIFIED,manufacturing,"Publishing, reproduction of recorded media",No,45.0,45.0,43.0,0.0,0.0,0.0,45.0,45.0,43.0,0.0,0.0,0.0,150000000.0,37500000.0,37500000.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Yes,No,No,No,No,No,No,No
34,2008,No,1986.0,NOT SPECIFIED,manufacturing,wood and paper products etc,No,67.0,67.0,67.0,3.0,2.0,2.0,70.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,High,Not used,Not used,Not used,High,Not used,High,Not used,Not used,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,Icrease financial status though covert supply by funding,NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
35,2008,No,1993.0,Yes,manufacturing,food and beverages,Yes,0.0,770.0,969.0,0.0,1256.0,1800.0,0.0,2026.0,2769.0,0.0,0.0,0.0,0.0,0.0,214320000.0,0.0,0.0,0.0,High,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Not used,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,NOT SPECIFIED,Yes,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED
36,2008,No,0.0,Yes,manufacturing,food and beverages,No,369.0,353.0,315.0,0.0,0.0,0.0,369.0,353.0,315.0,0.0,0.0,0.0,393000000.0,260000000.0,220000000.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Power supply and basic amenities,Yes,Yes,No,No,No,No,No,No
37,2008,No,1983.0,Yes,manufacturing,food and beverages,Yes,432.0,430.0,420.0,0.0,0.0,0.0,432.0,430.0,420.0,0.0,0.0,0.0,6100000000.0,5760000000.0,7180000000.0,0.0,0.0,0.0,High,High,High,Medium,High,Low,Low,Medium,Low,Low,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Yes,Yes,No,No,No,No,No,No
38,2008,No,0.0,NOT SPECIFIED,manufacturing,fabricated metal etc,No,20.0,20.0,15.0,5.0,0.0,5.0,25.0,20.0,20.0,0.0,0.0,0.0,2500000.0,2000000.0,1800000.0,0.0,0.0,0.0,High,High,High,Medium,Low,Low,Low,Low,Low,Low,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Yes,No,No,No,No,No,No,No
39,2008,No,1987.0,Yes,manufacturing,furniture,Yes,50.0,50.0,50.0,80.0,80.0,30.0,130.0,130.0,80.0,0.0,0.0,0.0,150000000.0,120000000.0,100000000.0,0.0,0.0,0.0,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,NOT SPECIFIED,Yes,Yes,No,No,No,No,No,No
